date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:51:08	43/43	---M--	200	added ('OK')	text/plain	etag:%2252a88b58-2b%22	https://www.transformice.com/robots.txt		(from )
13:51:08	4606/4606	---MCZ	200	added ('OK')	text/html	etag:W/%22624ea361-11fe%22	https://www.transformice.com/	C:/Users/HIGOR/Desktop/transformice/s/www.transformice.com/index.html	(from )
13:51:10	39116/39116	---M--	200	added ('OK')	image/jpeg	etag:%22538890f1-98cc%22	http://www.transformice.com/share/avatar.jpg	C:/Users/HIGOR/Desktop/transformice/s/www.transformice.com/share/avatar.jpg	(from https://www.transformice.com/)
13:51:10	923/923	---M--	200	added ('OK')	text/css	etag:%225ffd9b91-39b%22	https://www.transformice.com/css/tfm.css	C:/Users/HIGOR/Desktop/transformice/s/www.transformice.com/css/tfm.css	(from https://www.transformice.com/)
13:51:10	2425/2425	---M--	200	added ('OK')	text/css	etag:%225ffd83ca-979%22	https://www.transformice.com/css/flickity.css	C:/Users/HIGOR/Desktop/transformice/s/www.transformice.com/css/flickity.css	(from https://www.transformice.com/)
13:51:11	590/590	---M--	200	added ('OK')	image/png	etag:%225ffd83ca-24e%22	https://www.transformice.com/favicon.png	C:/Users/HIGOR/Desktop/transformice/s/www.transformice.com/favicon.png	(from https://www.transformice.com/)
13:51:11	57513/57513	---M--	200	added ('OK')	application/x-javascript	etag:%225ffd83ca-e0a9%22	https://www.transformice.com/js/flickity.pkgd.min.js	C:/Users/HIGOR/Desktop/transformice/s/www.transformice.com/js/flickity.pkgd.min.js	(from https://www.transformice.com/)
13:51:12	49210/49210	---M--	200	added ('OK')	image/png	etag:%225ffd83ca-c03a%22	https://www.transformice.com/img/logo.png	C:/Users/HIGOR/Desktop/transformice/s/www.transformice.com/img/logo.png	(from https://www.transformice.com/)
13:51:12	142495/142495	---M--	200	added ('OK')	image/jpeg	etag:%225ffd83ca-22c9f%22	https://www.transformice.com/img/i1.jpg	C:/Users/HIGOR/Desktop/transformice/s/www.transformice.com/img/i1.jpg	(from https://www.transformice.com/)
13:51:14	50874/50874	---M--	200	added ('OK')	image/jpeg	etag:%225ffd83ca-c6ba%22	https://www.transformice.com/img/i3.jpg	C:/Users/HIGOR/Desktop/transformice/s/www.transformice.com/img/i3.jpg	(from https://www.transformice.com/)
